 --- Timing ---
Full run: 4.2685 minutes (2.561102e+02 secs)
Ranking computation: 4.12248 minutes (2.473488e+02 secs)
Ranking is: ~96.5791% of the run time
 
 --- Rankings ---
 V   	AEF                   IF	
"638"	0.0294559478 	        4844
"639"	0.0000000000 	           0
"640"	0.0000000000 	           0
"641"	0.0000000000 	           0
"642"	0.0000000000 	           0
"643"	0.0000000000 	           0
"644"	0.0000000000 	           0
"645"	0.0000000000 	           0
"646"	0.0000000000 	           0
"647"	0.0000000000 	           0
"648"	0.0000000000 	           0
"649"	0.0000000000 	           0
"650"	0.0000000000 	           0
"651"	0.0000000000 	           0
"652"	0.0000000000 	           0
"653"	0.0000000000 	           0
"654"	0.0000000000 	           0
"655"	0.0000000000 	           0
"656"	0.0000000000 	           0
"657"	0.0000000000 	           0
"658"	0.0000000000 	           0
"659"	0.0000000000 	           0
"660"	0.0000000000 	           0
"661"	0.0000000000 	           0
"662"	0.0000000000 	           0
"663"	0.0000000000 	           0
"664"	0.0000000000 	           0
"665"	0.0000000000 	           0
"666"	0.0000000000 	           0
"667"	0.0000000000 	           0
"668"	0.0000000000 	           0
"669"	0.0000000000 	           0
"670"	0.0000000000 	           0
"671"	0.0000000000 	           0
"672"	0.0000000000 	           0
"673"	0.0000000000 	           0
"674"	0.0000000000 	           0
"675"	0.0000000000 	           0
"676"	0.0000000000 	           0
"677"	0.0000000000 	           0
"678"	0.0000000000 	           0
"679"	0.0000000000 	           0
"680"	0.0000000000 	           0
"681"	0.0000000000 	           0
"682"	0.0000000000 	           0
"683"	0.0000000000 	           0
"684"	0.0000000000 	           0
"685"	0.0000000000 	           0
"686"	0.0000000000 	           0
"687"	0.0000000000 	           0
"688"	0.0000000000 	           0
"689"	0.0000000000 	           0
"690"	0.0000000000 	           0
"691"	0.0000000000 	           0
"692"	0.0000000000 	           0
"693"	0.0000000000 	           0
"694"	0.0000000000 	           0
"695"	0.0000000000 	           0
"696"	0.0000000000 	           0
"697"	0.0000000000 	           0
"698"	0.0000000000 	           0
"699"	0.0000000000 	           0
"700"	0.0000000000 	           0
"701"	0.0000000000 	           0
"702"	0.0000000000 	           0
"703"	0.0000000000 	           0
"704"	0.0000000000 	           0
"705"	0.0000000000 	           0
"706"	0.0000000000 	           0
"707"	0.0000000000 	           0
"708"	0.0000000000 	           0
"709"	0.0000000000 	           0
"710"	0.0000000000 	           0
"711"	0.0000000000 	           0
"712"	0.0000000000 	           0
"713"	0.0000000000 	           0
"714"	0.0000000000 	           0
"715"	0.0000000000 	           0
"716"	0.0000000000 	           0
"717"	0.0000000000 	           0
"718"	0.0000000000 	           0
"719"	0.0000000000 	           0
"720"	0.0000000000 	           0
"721"	0.0000000000 	           0
"722"	0.0000000000 	           0
"723"	0.0000000000 	           0
"724"	0.0000058041 	           1
"725"	0.0000000000 	           0
"726"	0.0000110077 	           2
"727"	0.0000055038 	           1
"728"	0.0000165115 	           3
"729"	0.0000055038 	           1
"730"	0.0000055038 	           1
"731"	0.0000110077 	           2
"732"	0.0000057155 	           1
"733"	0.0000055038 	           1
"734"	0.0000000000 	           0
"735"	0.0000000000 	           0
"736"	0.0000000000 	           0
"737"	0.0000000000 	           0
"738"	0.0000000000 	           0
"739"	0.0000000000 	           0
"740"	0.0000000000 	           0
"741"	0.0000110077 	           2
"742"	0.0000165115 	           3
"743"	0.0000000000 	           0
"744"	0.0000000000 	           0
"745"	0.0000110077 	           2
"746"	0.0000220154 	           4
"747"	0.0000000000 	           0
"748"	0.0000055038 	           1
"749"	0.0000110077 	           2
"750"	0.0000055038 	           1
"751"	0.0000000000 	           0
"752"	0.0000000000 	           0
"753"	0.0000000000 	           0
"754"	0.0000000000 	           0
"755"	0.0000220154 	           4
"756"	0.0000055038 	           1
"757"	0.0000000000 	           0
"758"	0.0000055038 	           1
"759"	0.0000055038 	           1
"760"	0.0000055038 	           1
"761"	0.0000110077 	           2
"762"	0.0000110077 	           2
"763"	0.0000000000 	           0
"764"	0.0000000000 	           0
"765"	0.0000000000 	           0
"766"	0.0000000000 	           0
"767"	0.0000000000 	           0
"768"	0.0000000000 	           0
"769"	0.0000000000 	           0
"770"	0.0000055038 	           1
"771"	0.0000055038 	           1
"772"	0.0000000000 	           0
"773"	0.0000055038 	           1
"774"	0.0000000000 	           0
"775"	0.0000055038 	           1
"776"	0.0000000000 	           0
"777"	0.0000000000 	           0
"778"	0.0000000000 	           0
"779"	0.0000000000 	           0
"780"	0.0000000000 	           0
"781"	0.0000000000 	           0
"782"	0.0000000000 	           0
"783"	0.0000000000 	           0
"784"	0.0000055038 	           1
"785"	0.0000055038 	           1
"786"	0.0000000000 	           0
"787"	0.0000000000 	           0
"788"	0.0000000000 	           0
"789"	0.0000055038 	           1
"790"	0.0000055038 	           1
"791"	0.0000000000 	           0
"792"	0.0000000000 	           0
"793"	0.0000000000 	           0
"794"	0.0000000000 	           0
"795"	0.0000000000 	           0
"796"	0.0000000000 	           0
"797"	0.0000000000 	           0
"798"	0.0000000000 	           0
"799"	0.0000000000 	           0
"800"	0.0000000000 	           0
"801"	0.0000000000 	           0
"802"	0.0000000000 	           0
"803"	0.0000000000 	           0
"804"	0.0000000000 	           0
"805"	0.0000000000 	           0
"806"	0.0000000000 	           0
"807"	0.0000000000 	           0
"808"	0.0000000000 	           0
"809"	0.0000000000 	           0
"810"	0.0000000000 	           0
"811"	0.0000000000 	           0
"812"	0.0000000000 	           0
"813"	0.0000000000 	           0
"814"	0.0000000000 	           0
"815"	0.0000000000 	           0
"816"	0.0000000000 	           0
"817"	0.0000000000 	           0
"818"	0.0000000000 	           0
"819"	0.0000000000 	           0
"820"	0.0000000000 	           0
"821"	0.0000000000 	           0
"822"	0.0000000000 	           0
"823"	0.0000000000 	           0
"824"	0.0000000000 	           0
"825"	0.0000000000 	           0
"826"	0.0000000000 	           0
"827"	0.0000000000 	           0
"828"	0.0000000000 	           0
"829"	0.0000000000 	           0
"830"	0.0000000000 	           0
"831"	0.0000000000 	           0
"832"	0.0000000000 	           0
"833"	0.0000000000 	           0
"834"	0.0000000000 	           0
"835"	0.0000000000 	           0
"836"	0.0000000000 	           0
"837"	0.0000000000 	           0
"838"	0.0000000000 	           0
"839"	0.0000000000 	           0
"840"	0.0000000000 	           0
"841"	0.0000000000 	           0
"842"	0.0000000000 	           0
"843"	0.0000000000 	           0
"844"	0.0000000000 	           0
"845"	0.0000000000 	           0
"846"	0.0000000000 	           0
"847"	0.0000000000 	           0
"848"	0.0000000000 	           0
"849"	0.0000000000 	           0
"850"	0.0000000000 	           0
"851"	0.0000000000 	           0
"852"	0.0000000000 	           0
"853"	0.0000000000 	           0
"854"	0.0000000000 	           0
"855"	0.0000000000 	           0
"856"	0.0000000000 	           0
"857"	0.0000000000 	           0
"858"	0.0000000000 	           0
"859"	0.0000000000 	           0
"860"	0.0000000000 	           0
"861"	0.0000000000 	           0
"862"	0.0000000000 	           0
"863"	0.0000000000 	           0
"864"	0.0000000000 	           0
"865"	0.0000000000 	           0
"866"	0.0000000000 	           0
"867"	0.0000000000 	           0
"868"	0.0000000000 	           0
"869"	0.0000000000 	           0
"870"	0.0000000000 	           0
"871"	0.0000000000 	           0
"872"	0.0000000000 	           0
"873"	0.0000000000 	           0
"874"	0.0000000000 	           0
"875"	0.0000000000 	           0
"876"	0.0000000000 	           0
"877"	0.0000000000 	           0
"878"	0.0000000000 	           0
"879"	0.0000000000 	           0
"880"	0.0000000000 	           0
"881"	0.0000000000 	           0
"882"	0.0000000000 	           0
"883"	0.0000000000 	           0
"884"	0.0000000000 	           0
"885"	0.0000000000 	           0
"886"	0.0000000000 	           0
"887"	0.0000000000 	           0
"888"	0.0000000000 	           0
"889"	0.0000000000 	           0
"890"	0.0000000000 	           0
"891"	0.0000000000 	           0
"892"	0.0000000000 	           0
"893"	0.0000000000 	           0
"894"	0.0000000000 	           0
"895"	0.0000000000 	           0
"896"	0.0000000000 	           0
"897"	0.0000000000 	           0
"898"	0.0000000000 	           0
"899"	0.0000000000 	           0
"900"	0.0000000000 	           0
"901"	0.0000000000 	           0
"902"	0.0000000000 	           0
"903"	0.0000000000 	           0
"904"	0.0000000000 	           0
"905"	0.0000000000 	           0
"906"	0.0000000000 	           0
"907"	0.0000000000 	           0
"908"	0.0000000000 	           0
"909"	0.0000000000 	           0
"910"	0.0000000000 	           0
"911"	0.0000000000 	           0
"912"	0.0000000000 	           0
"913"	0.0000000000 	           0
"914"	0.0000000000 	           0
"915"	0.0000000000 	           0
"916"	0.0000000000 	           0
"917"	0.0000000000 	           0
"918"	0.0000000000 	           0
"919"	0.0000000000 	           0
"920"	0.0000000000 	           0
"921"	0.0000000000 	           0
"922"	0.0000000000 	           0
"923"	0.0000000000 	           0
"924"	0.0000000000 	           0
"925"	0.0000000000 	           0
"926"	0.0000000000 	           0
"927"	0.0000000000 	           0
"928"	0.0000000000 	           0
"929"	0.0000000000 	           0
"930"	0.0000000000 	           0
"931"	0.0000000000 	           0
"932"	0.0000000000 	           0
"933"	0.0000000000 	           0
"934"	0.0000000000 	           0
"935"	0.0000000000 	           0
"936"	0.0000000000 	           0
"937"	0.0000000000 	           0
"938"	0.0000000000 	           0
"939"	0.0000000000 	           0
"940"	0.0000000000 	           0
"941"	0.0000000000 	           0
"942"	0.0000000000 	           0
"943"	0.0000000000 	           0
"944"	0.0000000000 	           0
"945"	0.0000000000 	           0
"946"	0.0000000000 	           0
"947"	0.0000000000 	           0
"948"	0.0000000000 	           0
"949"	0.0000000000 	           0
"950"	0.0000000000 	           0
"951"	0.0000000000 	           0
"952"	0.0000000000 	           0
"953"	0.0000000000 	           0
"954"	0.0000000000 	           0
"955"	0.0000000000 	           0
"956"	0.0000000000 	           0
"957"	0.0000000000 	           0
"958"	0.0000000000 	           0
"959"	0.0000000000 	           0
"960"	0.0000000000 	           0
"961"	0.0000000000 	           0
"962"	0.0000000000 	           0
"963"	0.0000000000 	           0
"964"	0.0000000000 	           0
"965"	0.0000000000 	           0
"966"	0.0000000000 	           0
"967"	0.0000000000 	           0
"968"	0.0000000000 	           0
"969"	0.0000000000 	           0
"970"	0.0000000000 	           0
"971"	0.0000000000 	           0
"972"	0.0000000000 	           0
"973"	0.0000000000 	           0
"974"	0.0000000000 	           0
"975"	0.0000000000 	           0
"976"	0.0000000000 	           0
"977"	0.0000000000 	           0
"978"	0.0000000000 	           0
"979"	0.0000000000 	           0
"980"	0.0000000000 	           0
"981"	0.0000000000 	           0
"982"	0.0000000000 	           0
"983"	0.0000000000 	           0
"984"	0.0000000000 	           0
"985"	0.0000000000 	           0
"986"	0.0000000000 	           0
"987"	0.0000000000 	           0
"988"	0.0000000000 	           0
"989"	0.0000000000 	           0
"990"	0.0000000000 	           0
"991"	0.0000000000 	           0
"992"	0.0000000000 	           0
"993"	0.0000000000 	           0
"994"	0.0000000000 	           0
"995"	0.0000000000 	           0
"996"	0.0000000000 	           0
"997"	0.0000000000 	           0
"998"	0.0000000000 	           0
"999"	0.0000000000 	           0
"1000"	0.0000000000 	           0
"1001"	0.0000000000 	           0
"1002"	0.0000000000 	           0
"1003"	0.0000000000 	           0
"1004"	0.0000000000 	           0
"1005"	0.0000000000 	           0
"1006"	0.0000000000 	           0
"1007"	0.0000000000 	           0
"1008"	0.0000000000 	           0
"1009"	0.0000000000 	           0
"1010"	0.0000000000 	           0
"1011"	0.0000000000 	           0
"1012"	0.0000000000 	           0
"1013"	0.0000000000 	           0
"1014"	0.0000000000 	           0
"1015"	0.0000000000 	           0
"1016"	0.0000000000 	           0
"1017"	0.0000000000 	           0
"1018"	0.0000000000 	           0
"1019"	0.0000000000 	           0
"1020"	0.0000000000 	           0
"1021"	0.0000000000 	           0
"1022"	0.0000000000 	           0
"1023"	0.0000000000 	           0
"1024"	0.0000000000 	           0
"1025"	0.0000000000 	           0
"1026"	0.0000000000 	           0
"1027"	0.0000000000 	           0
"1028"	0.0000000000 	           0
"1029"	0.0000000000 	           0
"1030"	0.0000000000 	           0
"1031"	0.0000000000 	           0
"1032"	0.0000000000 	           0
"1033"	0.0000000000 	           0
"1034"	0.0000000000 	           0
"1035"	0.0000000000 	           0
"1036"	0.0000000000 	           0
"1037"	0.0000000000 	           0
"1038"	0.0000000000 	           0
"1039"	0.0000000000 	           0
"1040"	0.0000000000 	           0
"1041"	0.0000000000 	           0
"1042"	0.0000000000 	           0
"1043"	0.0000000000 	           0
"1044"	0.0000000000 	           0
"1045"	0.0000000000 	           0
"1046"	0.0000000000 	           0
"1047"	0.0000000000 	           0
"1048"	0.0000000000 	           0
"1049"	0.0000000000 	           0
"1050"	0.0000000000 	           0
"1051"	0.0000000000 	           0
"1052"	0.0000000000 	           0
"1053"	0.0000000000 	           0
